platillo,tiempo,dia,theme,food_id,alimento_match,gramos,ingrediente_texto,porcion_original,confianza,nivel,metodo,revisar
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,machaca,Machaca,40,40 g machaca de res,40 g machaca de res,0.708,media,gramos-directos,SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,clara-de-huevo,Clara de huevo,,1 taza claras de huevo,1 taza claras de huevo,0.993,alta,REVISAR-medida(taza≠pieza),SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,nopal-crudo,Nopal crudo,,"Nopales en tiras, tomate","Nopales en tiras, tomate + cebolla + chile + cilantro",0.669,media,sin-cantidad,SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,cebolla-cocida,Cebolla cocida,,cebolla,"Nopales en tiras, tomate + cebolla + chile + cilantro",0.933,alta,sin-cantidad,SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,chile-ancho,Chile ancho,,chile,"Nopales en tiras, tomate + cebolla + chile + cilantro",0.7,media,sin-cantidad,SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,cilantro-picado-crudo,Cilantro picado crudo,,cilantro,"Nopales en tiras, tomate + cebolla + chile + cilantro",0.91,alta,sin-cantidad,SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,tortilla-de-maiz,Tortilla de maíz,120,4 tortillas de maíz,4 tortillas de maíz,0.994,alta,4.0×pieza(30.0g),
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,aguacate-hass,Aguacate Hass,47,½ aguacate,½ aguacate,0.727,media,0.5×pieza(93.94g),SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,naranja,Naranja,76,1 naranja,1 naranja,1.0,alta,1.0×pieza(76.0g),
D03 Comida · Tacos de Pescado,Comida,3,🇲🇽 Mexicana,filete-de-pescado-blanco-del-nilo,Filete de pescado Blanco del Nilo,160,160 g filete pescado blanco (tilapia),160 g filete pescado blanco (tilapia),0.775,media,gramos-directos,SI
D03 Comida · Tacos de Pescado,Comida,3,🇲🇽 Mexicana,tortilla-de-maiz,Tortilla de maíz,120,4 tortillas de maíz,4 tortillas de maíz,0.994,alta,4.0×pieza(30.0g),
D03 Comida · Tacos de Pescado,Comida,3,🇲🇽 Mexicana,,,,"Repollo rallado o lechuga, pepino","Repollo rallado o lechuga, pepino",0.222,baja,sin-cantidad,SI
D03 Comida · Tacos de Pescado,Comida,3,🇲🇽 Mexicana,aderezo,Aderezo,,Aderezo del recetario,Aderezo del recetario,0.675,media,sin-cantidad,SI
D03 Comida · Tacos de Pescado,Comida,3,🇲🇽 Mexicana,salsa-de-pimienta-verde,Salsa de pimienta verde,,"Salsa verde o pico de gallo, limón","Salsa verde o pico de gallo, limón",0.579,media,sin-cantidad,SI
D03 Cena · Enfrijoladas,Cena,3,🇲🇽 Mexicana,tortilla-de-maiz,Tortilla de maíz,120,4 tortillas de maíz,4 tortillas de maíz,0.994,alta,4.0×pieza(30.0g),
D03 Cena · Enfrijoladas,Cena,3,🇲🇽 Mexicana,frijol-molido,Frijol molido,74,⅓ tz de frijol,⅓ tz de frijol,0.684,media,0.3333333333333333×taza(221.21g),SI
D03 Cena · Enfrijoladas,Cena,3,🇲🇽 Mexicana,queso-panela,Queso Panela,120,120 g queso panela o fresco,120 g queso panela o fresco,0.945,alta,gramos-directos,
D03 Cena · Enfrijoladas,Cena,3,🇲🇽 Mexicana,calabacita-alargada-cruda,Calabacita alargada cruda,,Calabacita salteada con cebolla,Calabacita salteada con cebolla,0.636,media,sin-cantidad,SI
D03 Cena · Enfrijoladas,Cena,3,🇲🇽 Mexicana,salsa-de-anguila,Salsa de anguila,,Salsa de tu preferencia,Salsa de tu preferencia,0.698,media,sin-cantidad,SI
D03 Snack AM · Snack AM,Snack AM,3,🇲🇽 Mexicana,pechuga-de-pavo,Pechuga de pavo,128,6 reb pechuga de pavo,Sandwich: 6 reb pechuga de pavo + 2 reb pan integral + lechuga y tomate + 1 cda mayonesa,1.0,alta,6.0×rebanada(21.33g),
D03 Snack AM · Snack AM,Snack AM,3,🇲🇽 Mexicana,pan-integral,Pan integral,50,2 reb pan integral,Sandwich: 6 reb pechuga de pavo + 2 reb pan integral + lechuga y tomate + 1 cda mayonesa,1.0,alta,2.0×rebanada(25.0g),
D03 Snack AM · Snack AM,Snack AM,3,🇲🇽 Mexicana,lechuga,Lechuga,,lechuga y tomate,Sandwich: 6 reb pechuga de pavo + 2 reb pan integral + lechuga y tomate + 1 cda mayonesa,0.697,media,sin-cantidad,SI
D03 Snack AM · Snack AM,Snack AM,3,🇲🇽 Mexicana,mayonesa,Mayonesa,,1 cda mayonesa,Sandwich: 6 reb pechuga de pavo + 2 reb pan integral + lechuga y tomate + 1 cda mayonesa,1.0,alta,REVISAR-medida(cda≠cucharadita),SI
D03 Snack PM · Snack PM,Snack PM,3,🇲🇽 Mexicana,sandia-picada,Sandía picada,320,2 tz sandía picada,2 tz sandía picada + 1 tz jicama,1.0,alta,2.0×taza(160.0g),
D03 Snack PM · Snack PM,Snack PM,3,🇲🇽 Mexicana,jicama-picada,Jícama picada,120,1 tz jicama,2 tz sandía picada + 1 tz jicama,0.926,alta,1.0×taza(120.0g),
D04 Desayuno · Huevos Rancheros,Desayuno,4,🇲🇽 Mexicana,huevo-fresco,Huevo fresco,264,6 huevos,6 huevos,0.933,alta,6.0×pieza(44.0g),
D04 Desayuno · Huevos Rancheros,Desayuno,4,🇲🇽 Mexicana,frijol-molido,Frijol molido,147,⅔ taza frijoles cocidos,⅔ taza frijoles cocidos,0.727,media,0.6666666666666666×taza(221.21g),SI
D04 Desayuno · Huevos Rancheros,Desayuno,4,🇲🇽 Mexicana,nopal-crudo,Nopal crudo,,Nopal picado,Nopal picado,0.957,alta,sin-cantidad,SI
D04 Desayuno · Huevos Rancheros,Desayuno,4,🇲🇽 Mexicana,tortilla-de-maiz,Tortilla de maíz,30,1 tortilla de maíz,1 tortilla de maíz,1.0,alta,1.0×pieza(30.0g),
D04 Desayuno · Huevos Rancheros,Desayuno,4,🇲🇽 Mexicana,aguacate-hass,Aguacate Hass,47,½ pz aguacate,½ pz aguacate,0.727,media,0.5×pieza(93.94g),SI
D04 Desayuno · Huevos Rancheros,Desayuno,4,🇲🇽 Mexicana,salsa-de-chile,Salsa de chile,,"Salsa libre (tomate, cebolla, chile, cilantro)","Salsa libre (tomate, cebolla, chile, cilantro)",0.625,media,sin-cantidad,SI
D04 Comida · Tinga de Pollo,Comida,4,🇲🇽 Mexicana,pechuga-de-pollo-ahumada,Pechuga de pollo ahumada,230,230 g pechuga de pollo deshebrada,230 g pechuga de pollo deshebrada,0.815,media,gramos-directos,SI
D04 Comida · Tinga de Pollo,Comida,4,🇲🇽 Mexicana,arroz-cocido,Arroz cocido,564,3 tz arroz blanco cocido,3 tz arroz blanco cocido,0.73,media,3.0×taza(188.0g),SI
D04 Comida · Tinga de Pollo,Comida,4,🇲🇽 Mexicana,lechuga,Lechuga,,Lechuga,Lechuga + tomate + cebolla,1.0,alta,sin-cantidad,SI
D04 Comida · Tinga de Pollo,Comida,4,🇲🇽 Mexicana,tomate-verde,Tomate verde,,tomate,Lechuga + tomate + cebolla,0.708,media,sin-cantidad,SI
D04 Comida · Tinga de Pollo,Comida,4,🇲🇽 Mexicana,cebolla-cocida,Cebolla cocida,,cebolla,Lechuga + tomate + cebolla,0.933,alta,sin-cantidad,SI
D04 Comida · Tinga de Pollo,Comida,4,🇲🇽 Mexicana,salsa-de-chile,Salsa de chile,,2 cdas salsa chipotle,2 cdas salsa chipotle,0.657,media,REVISAR-medida(cda≠taza),SI
D04 Comida · Tinga de Pollo,Comida,4,🇲🇽 Mexicana,limon,Limón,,Limón,Limón,1.0,alta,sin-cantidad,SI
D04 Cena · Quesadillas con Champiñones,Cena,4,🇲🇽 Mexicana,tortilla-de-maiz,Tortilla de maíz,60,2 tortillas de maíz,2 tortillas de maíz,0.994,alta,2.0×pieza(30.0g),
D04 Cena · Quesadillas con Champiñones,Cena,4,🇲🇽 Mexicana,queso-panela,Queso Panela,150,150 g queso panela o fresco,150 g queso panela o fresco,0.945,alta,gramos-directos,
D04 Cena · Quesadillas con Champiñones,Cena,4,🇲🇽 Mexicana,,,,Champiñones con cebolla,Champiñones con cebolla,0.301,baja,sin-cantidad,SI
D04 Cena · Quesadillas con Champiñones,Cena,4,🇲🇽 Mexicana,salsa-de-pimienta-verde,Salsa de pimienta verde,,Salsa verde,Salsa verde,0.779,media,sin-cantidad,SI
D04 Cena · Quesadillas con Champiñones,Cena,4,🇲🇽 Mexicana,caldo,Caldo,240,1 taza caldo de verduras,1 taza caldo de verduras,0.666,media,1.0×taza(240.0g),SI
D04 Snack AM · Snack AM,Snack AM,4,🇲🇽 Mexicana,papaya-picada,Papaya picada,140,1 tz papaya,1 tz papaya + 10 g semillas (almendras),0.926,alta,1.0×taza(140.0g),
D04 Snack AM · Snack AM,Snack AM,4,🇲🇽 Mexicana,semilla-de-anis,Semilla de anís,10,10 g semillas (almendras),1 tz papaya + 10 g semillas (almendras),0.633,media,gramos-directos,SI
D04 Snack PM · Snack PM,Snack PM,4,🇲🇽 Mexicana,semilla-de-mostaza,Semilla de mostaza,10,10 g semillas (pistaches),10 g semillas (pistaches) + 1 tz zanahoria picada,0.622,media,gramos-directos,SI
D04 Snack PM · Snack PM,Snack PM,4,🇲🇽 Mexicana,zanahoria-picada-cruda,Zanahoria picada cruda,128,1 tz zanahoria picada,10 g semillas (pistaches) + 1 tz zanahoria picada,0.968,alta,1.0×taza(128.0g),
D05 Desayuno · Molletes con Huevo,Desayuno,5,🇲🇽 Mexicana,pan-integral,Pan integral,100,4 reb pan integral,4 reb pan integral,1.0,alta,4.0×rebanada(25.0g),
D05 Desayuno · Molletes con Huevo,Desayuno,5,🇲🇽 Mexicana,frijol-germinado-crudo,Frijol germinado crudo,69,⅔ tz frijoles machacados sin grasa,⅔ tz frijoles machacados sin grasa,0.602,media,0.6666666666666666×taza(104.0g),SI
D05 Desayuno · Molletes con Huevo,Desayuno,5,🇲🇽 Mexicana,huevo-frito,Huevo frito,92,2 huevo,2 huevo + ½ tz claras,0.925,alta,2.0×pieza(46.0g),
D05 Desayuno · Molletes con Huevo,Desayuno,5,🇲🇽 Mexicana,clara-de-huevo,Clara de huevo,,½ tz claras,2 huevo + ½ tz claras,0.675,media,REVISAR-medida(taza≠pieza),SI
D05 Desayuno · Molletes con Huevo,Desayuno,5,🇲🇽 Mexicana,queso-panela,Queso Panela,60,60 g queso panela o fresco,60 g queso panela o fresco,0.945,alta,gramos-directos,
D05 Desayuno · Molletes con Huevo,Desayuno,5,🇲🇽 Mexicana,,,,"Pico de gallo libre, limón y sal","Pico de gallo libre, limón y sal",0.278,baja,sin-cantidad,SI
D05 Comida · Asado de Res,Comida,5,🇲🇽 Mexicana,carne-de-res-seca,Carne de res seca,200,200 g carne de res,200 g carne de res,0.816,media,gramos-directos,SI
D05 Comida · Asado de Res,Comida,5,🇲🇽 Mexicana,papas-fritas-con-crema-acida-y-cebolla,Papas fritas con crema ácida y cebolla,3,"1 pz papa, 2 pz tomate, ½ cebolla, 1 ajo","1 pz papa, 2 pz tomate, ½ cebolla, 1 ajo",0.579,media,1.0×pieza(3.0g),SI
D05 Comida · Asado de Res,Comida,5,🇲🇽 Mexicana,lechuga-sangria,Lechuga sangría,,"Lechuga, zanahoria, pepino, cebolla curtida","Lechuga, zanahoria, pepino, cebolla curtida",0.52,baja,sin-cantidad,SI
D05 Comida · Asado de Res,Comida,5,🇲🇽 Mexicana,queso-panela,Queso Panela,30,30 g queso panela,30 g queso panela + ⅓ aguacate,1.0,alta,gramos-directos,
D05 Comida · Asado de Res,Comida,5,🇲🇽 Mexicana,aguacate-hass,Aguacate Hass,31,⅓ aguacate,30 g queso panela + ⅓ aguacate,0.727,media,0.3333333333333333×pieza(93.94g),SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,atun-en-agua-drenado,Atún en agua drenado,200,2 latas atún en agua,2 latas atún en agua,0.8,media,2.0×lata(100.0g),SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,pepino-con-cascara-rebanado,Pepino con cáscara rebanado,,Pepino,Pepino + tomate + cebolla y cilantro,0.573,media,sin-cantidad,SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,tomate-verde,Tomate verde,,tomate,Pepino + tomate + cebolla y cilantro,0.708,media,sin-cantidad,SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,cebolla-cocida,Cebolla cocida,,cebolla y cilantro,Pepino + tomate + cebolla y cilantro,0.712,media,sin-cantidad,SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,aguacate-hass,Aguacate Hass,31,⅓ pz aguacate,⅓ pz aguacate,0.727,media,0.3333333333333333×pieza(93.94g),SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,jugo-de-limon,Jugo de limón,,"Jugo de limón, sal","Jugo de limón, sal",0.823,media,sin-cantidad,SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,aceite-de-oliva,Aceite de oliva,,1 cdita aceite oliva,1 cdita aceite oliva + 4 reb pan integral tostado,0.978,alta,REVISAR-medida(cdita≠cucharadita),SI
D05 Cena · Ceviche de Atún,Cena,5,🇲🇽 Mexicana,pan-integral,Pan integral,100,4 reb pan integral tostado,1 cdita aceite oliva + 4 reb pan integral tostado,0.95,alta,4.0×rebanada(25.0g),
D05 Snack AM · Snack AM,Snack AM,5,🇲🇽 Mexicana,uva,Uva,,2 tz de uvas,2 tz de uvas,0.92,alta,REVISAR-medida(taza≠pieza),SI
D05 Snack PM · Snack PM,Snack PM,5,🇲🇽 Mexicana,palomitas-naturales,Palomitas naturales,22,3 tz de palomitas naturales,3 tz de palomitas naturales,0.985,alta,3.0×taza(7.2g),
D06 Desayuno · Bowl de Amaranto,Desayuno,6,🇲🇽 Mexicana,yoghurt-natural,Yoghurt natural,227,1 tz yogur natural sin azúcar,1 tz yogur natural sin azúcar,0.941,alta,1.0×taza(227.0g),
D06 Desayuno · Bowl de Amaranto,Desayuno,6,🇲🇽 Mexicana,amaranto-tostado,Amaranto tostado,,2 cda amaranto natural inflado,2 cda amaranto natural inflado,0.93,alta,REVISAR-medida(cda≠taza),SI
D06 Desayuno · Bowl de Amaranto,Desayuno,6,🇲🇽 Mexicana,granola-estandar,Granola estándar,,¼ tz granola natural sin azúcar,¼ tz granola natural sin azúcar,0.68,media,REVISAR-medida(taza≠cucharada),SI
D06 Desayuno · Bowl de Amaranto,Desayuno,6,🇲🇽 Mexicana,mango-picado,Mango picado,41,"¼ tz mango, ¼ tz papaya, ¼ tz piña","¼ tz mango, ¼ tz papaya, ¼ tz piña",0.603,media,0.25×taza(165.0g),SI
D06 Desayuno · Bowl de Amaranto,Desayuno,6,🇲🇽 Mexicana,miel,Miel,,1 cda miel,1 cda miel,1.0,alta,REVISAR-medida(cda≠cucharadita),SI
D06 Desayuno · Bowl de Amaranto,Desayuno,6,🇲🇽 Mexicana,semilla-de-mostaza,Semilla de mostaza,10,10 g semillas mixtas,10 g semillas mixtas + 4 pz huevo revuelto,0.708,media,gramos-directos,SI
D06 Desayuno · Bowl de Amaranto,Desayuno,6,🇲🇽 Mexicana,huevo-revuelto,Huevo revuelto,,4 pz huevo revuelto,10 g semillas mixtas + 4 pz huevo revuelto,1.0,alta,REVISAR-medida(pieza≠gramos),SI
D06 Comida · Carne Molida con Verduras y Arroz,Comida,6,🇲🇽 Mexicana,carne-molida-popular-de-res,Carne molida popular de res,230,230 g carne molida magra de res,230 g carne molida magra de res,0.857,alta,gramos-directos,
D06 Comida · Carne Molida con Verduras y Arroz,Comida,6,🇲🇽 Mexicana,arroz-cocido,Arroz cocido,564,3 tz arroz cocido,3 tz arroz cocido,1.0,alta,3.0×taza(188.0g),
D06 Comida · Carne Molida con Verduras y Arroz,Comida,6,🇲🇽 Mexicana,calabacita-redonda-cruda,Calabacita redonda cruda,,Calabacita,Calabacita + pimiento + zanahoria salteadas,0.693,media,sin-cantidad,SI
D06 Comida · Carne Molida con Verduras y Arroz,Comida,6,🇲🇽 Mexicana,pimiento-fresco,Pimiento fresco,,pimiento,Calabacita + pimiento + zanahoria salteadas,0.939,alta,sin-cantidad,SI
D06 Comida · Carne Molida con Verduras y Arroz,Comida,6,🇲🇽 Mexicana,zanahoria-rallada-cruda,Zanahoria rallada cruda,,zanahoria salteadas,Calabacita + pimiento + zanahoria salteadas,0.943,alta,sin-cantidad,SI
D06 Comida · Carne Molida con Verduras y Arroz,Comida,6,🇲🇽 Mexicana,queso-oaxaca,Queso Oaxaca,60,60 g queso panela o oaxaca,60 g queso panela o oaxaca,0.795,media,gramos-directos,SI
D06 Comida · Carne Molida con Verduras y Arroz,Comida,6,🇲🇽 Mexicana,sal-de-ajo,Sal de ajo,,"Sal, ajo y hierbas","Sal, ajo y hierbas",0.754,media,sin-cantidad,SI
D06 Cena · Tacos de Camarón,Cena,6,🇲🇽 Mexicana,camaron-cocido,Camarón cocido,180,180 g camarón limpio,180 g camarón limpio,0.943,alta,gramos-directos,
D06 Cena · Tacos de Camarón,Cena,6,🇲🇽 Mexicana,tortilla-de-maiz,Tortilla de maíz,120,4 tortillas de maíz,4 tortillas de maíz,0.994,alta,4.0×pieza(30.0g),
D06 Cena · Tacos de Camarón,Cena,6,🇲🇽 Mexicana,jugo-de-limon,Jugo de limón,,Jugo de limón,Jugo de limón + pizca de sal,1.0,alta,sin-cantidad,SI
D06 Cena · Tacos de Camarón,Cena,6,🇲🇽 Mexicana,sal,Sal,,pizca de sal,Jugo de limón + pizca de sal,0.88,alta,sin-cantidad,SI
D06 Cena · Tacos de Camarón,Cena,6,🇲🇽 Mexicana,lechuga-italiana,Lechuga italiana,,"Lechuga rallada, pepino, tomate, cilantro, cebolla","Lechuga rallada, pepino, tomate, cilantro, cebolla",0.515,baja,sin-cantidad,SI
D06 Cena · Tacos de Camarón,Cena,6,🇲🇽 Mexicana,salsa-de-anguila,Salsa de anguila,,Salsa de tu preferencia,Salsa de tu preferencia,0.698,media,sin-cantidad,SI
D06 Snack AM · Snack AM,Snack AM,6,🇲🇽 Mexicana,,,,6 rollitos de pechuga de pavo con limón y salsa soya,Rollitos de jamón: 6 rollitos de pechuga de pavo con limón y salsa soya,0.242,baja,REVISAR-medida(?),SI
D06 Snack PM · Snack PM,Snack PM,6,🇲🇽 Mexicana,semilla-de-anis,Semilla de anís,10,10 g semillas (almendras),10 g semillas (almendras) + 1 plátano,0.633,media,gramos-directos,SI
